sim_municipio,sim_vinculo,sim_sexo,score,idx_ine,idx_bv,municipio_ine,estado_ine,sexo_ine,vinculo_grupo_ine,vinculo_victima_ine,municipio_bv,estado_bv,sexo_bv,vinculo_grupo_bv,edad_bv,escolaridad_bv,estado_civil_bv,Portaba Dicha Arma_bv,Droga_Alcohol_bv,año_banavim_bv,fuente_bv
1.0,1,1,3.0,87,30633,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,34.0,No identificado,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,87,306815,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,23.0,Licenciatura,,,0,2021,BANAVIM
1.0,1,1,3.0,87,594624,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,21.0,No identificado,Soltero,,0,2022,BANAVIM
1.0,1,1,3.0,87,594917,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,55.0,No identificado,Soltero,,0,2022,BANAVIM
1.0,1,1,3.0,87,596786,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,31.0,Licenciatura,,,0,2022,BANAVIM
1.0,1,1,3.0,87,596805,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,41.0,No identificado,,,0,2022,BANAVIM
1.0,1,1,3.0,100,432748,SALINA CRUZ,OAXACA,H,PARES,PARES,SALINAS VICTORIA,NUEVO LEON,H,PARES,23.0,Secundaria,Soltero,,0,2021,BANAVIM
1.0,1,1,3.0,101,21435,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,20.0,Licenciatura,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,101,28062,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,28.0,Preparatoria,No identificado,,1,2020,BANAVIM
1.0,1,1,3.0,101,30633,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,34.0,No identificado,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,101,306815,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,23.0,Licenciatura,,,0,2021,BANAVIM
1.0,1,1,3.0,101,594624,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,21.0,No identificado,Soltero,,0,2022,BANAVIM
1.0,1,1,3.0,101,594917,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,55.0,No identificado,Soltero,,0,2022,BANAVIM
1.0,1,1,3.0,101,596786,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,31.0,Licenciatura,,,0,2022,BANAVIM
